id,chessboard
TZJHLljE,rnbqk1nr/pp4pp/2p1p3/b7/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 7
l1NXvwaE,r1bqk1nr/pppp2pp/8/4n3/1bP1P3/8/PP4PP/RNB1KBNR w KQkq - 1 9
mIICvQHh,8/5P2/2P4R/4p3/k1P3B1/2Q5/1P3PPP/4K1NR w K - 3 31
kWKvrqYL,7r/R5bp/2p2QNk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 w - - 1 31
9tXo1AUZ,6Q1/5R2/7k/8/P3p3/5P2/6KP/8 w - - 4 48
MsoDV9wj,rnb1kbnr/pp1ppppp/8/q1p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
qwU9rasv,3r1b1r/2Nnkppp/p1Q1p3/8/6q1/4B3/PPP3PP/R4RK1 w - - 1 17
RVN0N3VK,r1bqkbnr/pppp1ppp/6n1/3Pp3/4P3/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5
dwF3DJHO,4r1k1/p2Q1ppp/8/2pP4/2P1r3/P3q2P/1P4PK/5n2 w - - 0 34
afoMwnLg,8/7k/5K2/6Q1/8/7p/7P/8 w - - 17 60
HgKLWPsz,rn1Rr1k1/pq3ppp/1p2p3/2pbP3/2B5/5N2/PPP1QPPP/3R2K1 w - - 4 20
Vf5fKWzI,r3kb1r/p4ppp/bp2p3/4P3/3P4/5N2/3NK1PP/1R3R2 w kq - 2 20
HRti5mKv,r5k1/1p3pp1/2p3rp/p2P3b/P1P1n3/2Q1RNqP/R5B1/6K1 w - - 0 31
2fEjSei6,r2qk2r/p1p2p1p/2bpp1p1/2n5/3b2P1/2NP1PQ1/PP5P/R1B1K1NR w KQkq - 2 16
u7i6dOaJ,r2q3k/ppp2p2/2nprp1B/2b1p3/4P1Q1/3P1N2/PPP2PPP/R4RK1 w - - 2 16
guanvMR5,r2n1rk1/p1p2pp1/1p6/2b1p3/8/8/PPPP2QP/RNBq3K w - - 2 22
PmpkWkmm,3r1k2/ppp4p/3pB1p1/4p3/4P3/2PP3P/P1P2qPK/8 w - - 0 27
EwaK0IsE,6k1/pp3ppp/8/4p1n1/8/BPP3P1/P2r3q/R6K w - - 0 34
yrSDozT3,6k1/3q2p1/7p/2P5/8/7P/6PK/8 w - - 0 51
x31mXlvc,r2qk2r/2pb1pp1/p2b1p1p/1p1B4/2nP4/2P1PN1P/PP3PP1/RN1Q1RK1 w kq - 1 13
